key,english,korean
agenda_defensive_focus,Secure the Borders,국경 보호
agenda_expansionist_overtures,Expansionist Overtures,확장주의 접근
agenda_finanical,Grow Economy,경제 성장
agenda_import_export,Import / Export,수입/수출
agenda_industrial,Develop Industry,공업 발달
agenda_national_purity,National Purity,민족 순수성
agenda_native_privilege,Native Privilege,원주민 특권
agenda_naval_focus,Fleet Expansion,함대 확장
agenda_privilege_crackdowns,Privilege & Crackdowns,특권과 강력 탄압
agenda_public_debates,Public Discourse,대중 담론
agenda_ref,Agenda,안건
agenda_science,Scientific Leap,과학적 도약
agenda_selective_nostalgia,Selective Nostalgia,선택적 그리움
agenda_skill_development,Skill Development,스킬 성장
agenda_slave_optimization,Slave Optimizations,노예 최적화
agenda_superior_colonies_planet_boost,Superior Colonies Support,상급 식민지 지원
agenda_welfare,A New Generation,새로운 세대
agenda_xeno_outreach,Xeno Outreach,외계 확장
ap_archaeoengineers,Archaeo-Engineers,고대기술 공학자
ap_arcology_project,Arcology Project,아콜로지 프로젝트
ap_become_the_crisis,Galactic Nemesis,은하적 천벌
ap_behemoths,Behemoth Fury,베헤모스의 격노
ap_colossus,Colossus Project,콜로서스 프로젝트
ap_consecrated_worlds,Consecrated Worlds,축성된 행성
ap_cosmogenesis,Cosmogenesis,우주의 창조
ap_detox,Detox,독성 제거
ap_engineered_evolution,Biomorphosis,생체 변형
ap_enigmatic_engineering,Enigmatic Engineering,알 수 없는 공학
ap_eternal_vigilance,Eternal Vigilance,영원한 경계
ap_executive_vigor,Executive Vigor,실행력
ap_galactic_contender,Galactic Contender,은하의 도전자
ap_galactic_force_projection,Galactic Force Projection,은하계 무력시위
ap_galactic_hyperthermia,Galactic Hyperthermia,은하계 과열
ap_galactic_wonders,Galactic Wonders,은하의 경이
ap_grasp_the_void,Grasp the Void,공허 파악
ap_hive_worlds,Hive Worlds,군체 행성
ap_hydrocentric,Hydrocentric,침수주의
ap_imperial_prerogative,Imperial Prerogative,제국의 특권
ap_interdimensional_processing,Interdimensional Processing,차원 간 프로세싱
ap_interstellar_dominion,Interstellar Dominion,성간 지배
ap_lord_of_war,Lord of War,전쟁 군주
ap_machine_worlds,Machine Worlds,기계 행성
ap_master_builders,Master Builders,건설 장인
ap_mastery_of_nature,Mastery of Nature,자연 정복
ap_mechromancy,Mechromancy,기계사령술
ap_mind_over_matter,Mind Over Matter,육신을 지배하는 정신
ap_nihilistic_acquisition,Nihilistic Acquisition,허무적 취득
ap_one_vision,One Vision,하나 된 비전
ap_organo_machine_interfacing,Organo-Machine Interfacing,유기체 기계 인터페이스
ap_shared_destiny,Shared Destiny,운명 공유
ap_synthetic_age,Synthetic Age,합성체 시대
ap_synthetic_evolution,Synthetic Evolution,합성체 진화
ap_technological_ascendancy,Technological Ascendancy,기술적 우위
ap_transcendent_learning,Transcendent Learning,초월 학습
ap_universal_transactions,Universal Transactions,전 은하적 거래
ap_voidborn,Voidborne,공허 태생
ap_weather_control,Galactic Weather Control,은하 기상 제어
ap_world_shaper,World Shaper,행성 조형가
ap_xeno_compatibility,Xeno-Compatibility,이종 간 호환성
army_attachment_advanced_power_armor,Advanced Power Armor,강화 동력 갑옷
army_attachment_air_defense_artillery,Air Defense Artillery,방공포
army_attachment_assault_landers,Assault Landers,강습 상륙선
army_attachment_battle_strider_column,Battle Strider Column,이족 보행 병기
army_attachment_battle_worms,Battle Worms,전투 벌레
army_attachment_brood_coordinator,Brood Coordinator,무리 조율자
army_attachment_chemical_stimulants,Chemical Stimulants,화학 자극제
army_attachment_class_a_psi_operative,Class-A PSI Operative,A등급 사이오닉 요원
army_attachment_clone_commandos,Clone Commandos,클론 특공대
army_attachment_clone_suicide_brigade,Clone Suicide Brigade,클론 자폭 여단
army_attachment_combat_software_1,Combat Software 1.1,전투 소프트웨어 1.1
army_attachment_combat_software_2,Combat Software 2.0,전투 소프트웨어 2.0
army_attachment_commissar_squads,Commissar Squads,통제 위원 분대
army_attachment_cybernetic_replacements,Cybernetic Replacements,사이버네틱 대체물
